"model","mae","rmse","p_rmse","deviance","dof","runtime","param","param_non_zeros","iter"
"BACs",9.1012962962963,14.7801105092847,39.4311213806218,22740.1500744505,22.6362878515667,2.4440553188324,22,22,3
"BACw",8.44851851851852,12.8297541906536,28.1984239118273,19767.1575097396,39,117.009185552597,82,38,50
"BACsw",7.42111111111111,11.5368652267095,24.9940437349026,15473.3875269549,39.4114361929676,23.2500689029694,100,39,14
"OBOs",9.3820652173913,15.0671023247261,34.3175706041951,26350.8487016491,22.1297121860853,0.883970022201538,22,22,1
"OBOw",9.95452898550725,15.7096100469135,35.2427605887088,29816.3384154023,50,2.75659561157227,82,49,1
"OBOsw",9.30144927536232,14.9260374581769,33.6080994378749,25794.5594476506,37.1297121860853,3.09675717353821,100,37,1
"BACs",7.77300724637681,12.0192252396866,26.5754872342753,16944.6506075977,22.3725313618354,3.61855459213257,22,22,4
"BACw",8.54347826086956,12.9943131374091,28.4150144022181,20541.2133634299,44,38.4788293838501,82,43,18
"BACsw",7.69528985507246,11.9035526300929,25.4718941444163,16868.0558588707,57.2890806596553,49.2594692707062,100,57,25
"OBOs",9.53315602836879,15.3471588148407,35.0081449489395,27609.8859399208,22.3292801972669,0.831245899200439,22,22,1
"OBOw",10.1008865248227,15.9667817849238,35.7215591377818,31132.3734135098,55,2.67852306365967,82,54,1
"OBOsw",9.45815602836879,15.19688751261,34.2010327080612,26993.2486376155,37.3292801972669,2.86445474624634,100,37,1
"BACs",7.91063829787234,12.2687979955381,27.1861980001273,17740.3011605729,22.395061608732,2.63767671585083,22,22,2
"BACw",8.69184397163121,13.2765190259649,28.9298491218459,21484.6422987317,38,17.5449023246765,82,37,7
"BACsw",7.67109929078014,11.979762781961,26.2149867807499,16901.0500303055,62.6510535149919,35.8914556503296,100,62,14
"OBOs",9.74253472222222,15.5917702205718,35.3762514501843,28770.5019287725,21.7049485262275,0.895579099655151,22,22,1
"OBOw",10.3307291666667,16.2751781437596,36.1818900372364,32568.4751458678,44,2.72698998451233,82,43,1
"OBOsw",9.68177083333333,15.4711481025524,34.6065986000743,28301.4114474395,36.7049485262275,3.1054151058197,100,37,1
"BACs",8.10260416666667,12.5963164258445,28.4345740252953,18691.1327746026,22.5690382453402,3.62558889389038,22,22,5
"BACw",8.85815972222222,13.5344147248577,29.167761884199,22452.2562876257,43,83.8975036144257,82,42,5
"BACsw",7.8546875,12.2274665200932,26.2517459736808,17698.8237250589,38.5084395824113,22.4338278770447,100,38,15
"OBOs",9.89761904761905,15.8140663296178,35.8117527168535,29970.0555966903,22.3781276327972,1.05084657669067,22,22,1
"OBOw",10.4867346938776,16.4855430378165,36.6933236434096,33857.456947478,47,2.94161367416382,82,46,1
"OBOsw",9.83809523809524,15.6873361985648,35.04888714062,29435.2629041987,39.3781276327972,2.83861970901489,100,39,1
"BACs",8.30799319727891,12.9199721467234,28.8158119859247,19778.4796636031,22.8628219535965,3.18624067306519,22,22,4
"BACw",8.99081632653061,13.7203731529351,29.7157279869755,23365.0680496154,38,194.023093223572,82,37,20
