"model","mae","rmse","p_rmse","deviance","dof","runtime","param","param_non_zeros","iter"
"BACs",2.47101993161538,3.18168073810674,6.00748269311293,16204.038961843,15.4721394101877,11.8807170391083,22,22,3
"BACw",2.55474939537987,3.28147467719054,6.38295571716436,17024.3196636695,20,22.7242910861969,26,19,6
"BACsw",2.49420398632308,3.20892862450817,6.09493161284255,16450.3297017639,32.8456796430539,37.1250550746918,44,40,6
"OBOs",2.46405770665782,3.17670454823087,6.01265100914502,16277.3028611774,14.9752618530257,3.1222140789032,22,22,1
"OBOw",2.55476328662632,3.27336967194407,6.29135966993779,17113.6031583569,23,4.91312599182129,26,22,1
"OBOsw",2.47964513721914,3.19453299268814,6.08524136029073,16358.6725627864,33.9752618530257,7.46984386444092,44,41,1
"BACs",2.45800514053561,3.16908727706223,5.97908186543689,16193.0580520041,15.3145517627427,12.7387280464172,22,22,3
"BACw",2.55235884255037,3.27788781761926,6.35748640664476,17086.490763766,20.9999999999999,31.4537498950958,26,20,7
"BACsw",2.4900920321698,3.20142939222263,6.12438736933352,16258.6681830658,33.5527051317393,86.8565609455109,44,40,16
"OBOs",2.46739757645701,3.17948767381502,6.01900105519364,16394.3184708886,14.9713228464701,3.1573269367218,22,22,1
"OBOw",2.56277306075344,3.28460662373089,6.33794526428009,17325.0679819001,21,5.22008013725281,26,20,1
"OBOsw",2.4796801582722,3.19571522962672,6.08920613648027,16510.5876945105,26.9713228464701,7.4128429889679,44,34,1
"BACs",2.4599785673069,3.16990630664547,5.98643217970558,16311.3786736416,15.4633054159153,13.1057460308075,22,22,3
"BACw",2.55584865221334,3.28106605297523,6.36971279267208,17216.1139369505,20,23.0818538665771,26,19,6
"BACsw",2.48421399719726,3.20088294636084,6.05158524419054,16586.2319744974,40.0694806942298,35.5143029689789,44,40,6
"OBOs",2.46856815015163,3.18146370954258,6.02479585858431,16486.8345162163,15.0111761645822,3.14871692657471,22,22,1
"OBOw",2.56519957380543,3.28889317150656,6.35241772942982,17443.9467186399,18.0000000000001,4.76760196685791,26,17,1
"OBOsw",2.48086222440784,3.19857510690801,6.10449901768202,16611.4814938979,26.0111761645822,7.88595008850098,44,33,1
"BACs",2.45914269322187,3.17089666966578,5.99388067153386,16397.0417578356,15.5400538463373,10.4876639842987,22,22,3
"BACw",2.55839685271699,3.28519040948241,6.37988884318341,17335.0997055021,18,22.4521589279175,26,17,5
"BACsw",2.48938611589214,3.20742877973935,6.09792038546937,16696.2528084433,25.9681525023668,35.3278350830078,44,33,6
"OBOs",2.46874745334529,3.18016323285406,6.01300377242196,16570.5107502134,15.0501004562427,3.48990607261658,22,22,1
"OBOw",2.5608344878168,3.28220644474931,6.33158270629901,17474.2870952622,21,4.80302882194519,26,20,1
"OBOsw",2.47828212859588,3.19607523556896,6.0937188440276,16682.4294349867,27.0501004562427,7.78038501739502,44,34,1
"BACs",2.46939939695216,3.17995822305624,5.99990497834297,16569.4207697032,15.7371354571662,9.10840106010437,22,22,2
"BACw",2.56466465650721,3.28978287109183,6.36561816643293,17493.8775449744,21,15.9743719100952,26,20,3
"BACsw",2.48781680384647,3.20466919560311,6.08763443748635,16767.0420997661,33.9740650738973,70.8832550048828,44,41,8
"OBOs",2.46908678389109,3.18160328532602,6.02423299847828,16658.6450472829,15.2898086742328,3.80969214439392,22,22,1
"OBOw",2.56640466736893,3.29177015442058,6.37028247931072,17642.4214970401,20.9999999999999,5.77310585975647,26,20,1
"OBOsw",2.48035005266996,3.19964749699335,6.11223448755355,16784.1427786045,30.2898086742328,9.27120995521545,44,37,1
"BACs",2.45725630013775,3.16999393035941,5.98884071853038,16570.1431194111,15.6851186761645,13.2112150192261,22,22,3
"BACw",2.55959808767523,3.28583230658625,6.37695325996816,17517.2205970263,21,56.1507260799408,26,20,15
"BACsw",2.49971639251276,3.21368468032197,6.1075953605683,16930.1605762389,28.7765393117197,35.6108100414276,44,36,4
